T.Fe%,CaO%,MgO%,SiO2%,Al2O3%,MnO%,P%,Cr2O3%,AI
53.11,12.41,2.63,6.75,3.01,0.072,0.065,0.027,6.07
51.08,14.17,2.88,7.35,2.91,0.318,0.067,0.030,5.87
52.83,12.89,2.64,6.37,3.01,0.115,0.062,0.031,5.93
51.61,13.40,2.89,7.27,2.94,0.556,0.066,0.034,5.80
52.58,12.91,2.83,6.56,2.96,0.252,0.067,0.031,5.93
51.74,12.96,2.98,7.66,2.94,0.310,0.070,0.031,5.67
53.65,11.73,2.53,6.54,2.98,0.117,0.065,0.030,5.93
51.84,13.25,2.67,6.55,2.77,0.526,0.066,0.030,5.53
53.39,12.20,2.64,6.60,3.01,0.095,0.065,0.027,6.40
52.25,12.77,2.70,7.15,2.90,0.567,0.068,0.032,5.53
53.80,11.74,2.32,6.87,2.86,0.133,0.067,0.027,6.53
54.19,11.57,2.46,5.96,2.97,0.071,0.063,0.029,6.33
51.69,13.74,3.05,7.08,2.94,0.450,0.068,0.031,5.80
53.59,12.47,2.65,5.88,2.97,0.122,0.068,0.028,6.00
52.28,12.94,2.73,7.01,2.96,0.408,0.059,0.032,5.80
53.98,11.65,2.58,6.06,2.92,0.072,0.059,0.031,6.00
51.94,13.09,2.94,7.12,2.90,0.563,0.061,0.032,5.60
53.79,12.04,2.51,6.06,2.93,0.101,0.063,0.029,6.33
51.87,13.50,2.95,6.67,2.81,0.659,0.057,0.035,5.73
53.92,11.72,2.43,6.37,2.96,0.097,0.059,0.031,5.67
51.58,13.25,2.93,6.50,2.86,0.610,0.058,0.033,5.60
53.45,11.57,2.50,6.26,2.97,0.091,0.055,0.029,6.27
53.01,12.75,2.71,6.27,2.88,0.356,0.059,0.034,5.40
54.15,11.34,2.57,6.11,2.93,0.076,0.058,0.030,6.07
51.85,13.43,2.90,6.95,2.83,0.598,0.061,0.034,5.67
53.83,11.93,2.58,6.44,2.96,0.249,0.059,0.030,6.00
52.29,13.24,2.73,6.69,2.91,0.474,0.060,0.036,5.40
54.16,11.39,2.54,5.98,2.87,0.095,0.055,0.031,6.13
51.93,13.12,2.84,6.51,2.87,0.351,0.059,0.036,5.53
54.04,11.75,2.45,6.32,3.06,0.070,0.057,0.029,6.00
51.76,13.77,3.04,6.87,2.82,0.494,0.061,0.036,5.40
53.19,12.74,2.71,6.46,2.85,0.330,0.062,0.031,5.93
53.88,11.82,2.74,6.47,2.98,0.066,0.059,0.029,5.80
53.70,12.19,2.74,6.15,2.94,0.057,0.062,0.029,6.27
53.69,12.18,2.99,6.38,2.97,0.041,0.060,0.027,6.20
53.38,12.13,2.80,6.55,2.95,0.050,0.060,0.027,6.40
53.42,11.73,2.59,6.06,3.02,0.055,0.060,0.029,6.40
53.20,11.81,2.62,6.28,3.03,0.050,0.058,0.029,6.20
53.56,12.12,2.70,6.37,2.92,0.057,0.057,0.027,5.80
52.64,12.51,2.96,6.98,3.01,0.059,0.058,0.027,6.07
51.86,13.26,3.03,7.11,2.82,0.453,0.057,0.031,5.67
53.27,12.28,2.68,6.67,3.04,0.067,0.058,0.029,5.80
52.11,13.55,2.93,6.58,2.88,0.450,0.059,0.031,5.53
53.19,12.51,2.65,6.49,2.90,0.080,0.058,0.029,5.73
51.19,13.55,2.96,6.67,2.84,0.663,0.053,0.034,5.80
52.33,13.40,2.83,6.67,2.99,0.124,0.059,0.027,5.93
52.04,13.65,2.80,6.83,2.87,0.312,0.060,0.028,5.33
53.08,12.95,2.51,5.85,2.92,0.056,0.059,0.028,6.27
52.70,13.26,2.58,6.41,2.90,0.359,0.064,0.030,5.60
53.05,12.58,2.60,6.35,2.89,0.153,0.057,0.027,6.20
52.09,13.96,3.16,6.82,2.83,0.402,0.060,0.031,5.40
53.21,12.73,2.72,6.72,2.96,0.087,0.058,0.028,5.67
50.64,14.66,3.27,7.22,2.81,0.615,0.060,0.029,5.40
53.04,12.94,2.99,5.85,2.92,0.088,0.057,0.029,5.60
51.65,13.99,3.08,6.34,2.75,0.414,0.058,0.030,5.47
53.06,12.99,2.88,6.24,2.89,0.097,0.061,0.027,5.67
51.12,14.51,3.28,7.04,2.81,0.450,0.060,0.030,6.13
52.97,13.13,2.76,5.75,2.85,0.081,0.056,0.029,6.00
53.01,13.22,3.03,5.51,2.80,0.053,0.059,0.027,5.67
52.88,13.37,2.49,5.95,2.86,0.047,0.057,0.028,5.60
52.68,13.14,2.91,6.54,2.90,0.049,0.060,0.027,6.27
53.28,12.72,2.69,6.07,2.91,0.071,0.058,0.028,6.13
53.09,12.85,2.80,6.13,2.87,0.071,0.055,0.029,6.33
52.85,13.37,2.83,6.13,2.84,0.064,0.057,0.028,6.47
53.08,13.10,2.70,5.65,2.86,0.042,0.061,0.029,6.27
53.07,12.94,2.76,5.76,2.87,0.036,0.058,0.029,6.07
53.05,12.98,2.73,6.29,2.90,0.039,0.059,0.027,6.13
52.57,12.76,2.77,6.54,2.91,0.041,0.058,0.026,6.53
52.86,12.98,2.85,6.58,2.98,0.053,0.058,0.029,5.93
52.98,12.86,2.85,6.25,2.94,0.038,0.056,0.029,6.27
53.27,12.43,2.88,6.58,3.00,0.043,0.061,0.030,6.00
53.18,12.56,2.87,6.40,2.99,0.056,0.061,0.029,5.80
52.90,12.66,2.89,6.76,3.11,0.060,0.064,0.027,5.87
53.02,12.66,2.89,6.11,3.15,0.054,0.065,0.029,6.20
53.32,12.21,2.58,6.42,3.19,0.059,0.062,0.029,6.07
53.31,12.21,2.57,6.74,3.21,0.055,0.063,0.028,6.67
53.55,12.00,2.46,6.78,3.06,0.060,0.060,0.028,5.93
53.20,12.56,2.50,6.59,2.98,0.044,0.062,0.028,6.07
52.89,12.99,2.68,6.28,2.94,0.039,0.059,0.028,5.73
53.19,12.71,2.35,6.30,2.94,0.040,0.058,0.028,6.00
53.32,12.45,2.73,6.02,2.92,0.040,0.060,0.030,6.20
53.01,13.03,2.63,6.40,2.92,0.046,0.058,0.026,6.00
52.60,13.09,2.78,6.45,2.89,0.035,0.058,0.026,5.93
51.14,13.96,3.01,7.26,2.90,0.413,0.065,0.028,5.73
52.66,13.25,2.74,6.40,3.00,0.098,0.059,0.028,5.80
53.56,12.30,2.53,6.74,2.98,0.041,0.058,0.025,6.07
53.36,12.50,2.57,6.84,2.98,0.042,0.057,0.026,5.87
53.53,12.16,2.54,6.19,2.91,0.037,0.058,0.029,6.33
53.56,12.31,2.50,6.22,2.95,0.056,0.057,0.027,6.27
53.55,12.35,2.43,5.76,2.89,0.035,0.055,0.028,6.00
53.30,12.64,2.55,5.90,2.91,0.036,0.055,0.027,6.13
53.57,12.38,2.55,6.03,2.91,0.047,0.059,0.026,5.73
53.29,12.68,2.65,6.18,2.93,0.040,0.059,0.026,6.00
53.31,12.72,2.56,6.17,2.84,0.046,0.056,0.028,5.67
52.89,13.27,2.63,6.03,2.90,0.040,0.058,0.028,5.73
53.35,12.70,2.60,5.19,2.89,0.043,0.058,0.028,6.27
53.34,12.58,2.63,5.51,2.96,0.041,0.056,0.028,6.07
53.17,12.96,2.64,5.71,2.89,0.042,0.053,0.028,5.93
53.40,12.75,2.37,5.69,2.96,0.043,0.056,0.026,5.80
53.62,12.30,2.48,5.34,2.93,0.055,0.054,0.028,5.93
53.91,11.93,2.35,5.73,2.94,0.042,0.055,0.029,6.00
54.17,11.44,2.40,5.73,2.90,0.038,0.056,0.029,5.73
53.89,11.95,2.02,5.35,2.99,0.050,0.055,0.029,5.80
54.41,11.18,1.99,5.28,3.05,0.048,0.056,0.029,6.33
54.07,11.31,2.39,5.27,3.05,0.051,0.049,0.030,5.93
54.28,11.21,2.46,5.47,3.06,0.046,0.051,0.028,6.33
54.05,11.28,2.49,5.64,3.08,0.050,0.052,0.028,5.93
54.46,10.82,2.47,6.26,3.10,0.047,0.052,0.029,5.53
54.12,11.17,2.57,5.45,2.57,0.049,0.050,0.030,5.80
54.63,10.75,2.48,5.38,3.05,0.057,0.051,0.029,6.00
54.81,10.26,2.37,5.47,3.09,0.051,0.052,0.029,6.40
54.57,10.79,2.38,5.14,3.09,0.053,0.052,0.031,6.67
54.31,11.12,2.45,5.43,3.16,0.051,0.051,0.029,6.13
54.42,10.82,2.41,5.23,3.11,0.052,0.051,0.030,6.33
55.09,10.28,2.26,5.32,3.05,0.045,0.055,0.029,6.00
54.63,10.68,2.33,5.56,3.15,0.054,0.054,0.028,6.07
55.11,10.26,2.32,5.15,3.13,0.064,0.052,0.031,6.13
54.90,10.40,2.38,5.03,3.04,0.045,0.056,0.029,6.53
53.15,12.84,2.49,5.25,2.83,0.727,0.064,0.031,5.73
54.83,10.37,2.37,4.99,3.04,0.117,0.053,0.030,6.13
53.13,12.37,2.60,5.67,2.90,1.204,0.064,0.030,6.20
54.13,11.41,2.66,5.21,3.03,0.158,0.057,0.028,6.13
52.83,13.07,2.84,5.82,2.95,0.610,0.063,0.030,6.07
52.86,12.92,2.93,6.30,2.99,0.257,0.052,0.029,6.00
51.30,14.34,2.87,6.77,2.94,0.842,0.056,0.029,5.73
52.98,12.68,2.61,7.08,3.15,0.124,0.053,0.028,5.87
52.27,13.69,3.04,7.22,3.06,0.363,0.058,0.031,5.73
52.67,13.06,2.90,6.42,3.08,0.291,0.058,0.030,6.20
52.02,14.26,2.90,6.46,3.02,0.496,0.058,0.029,5.93
52.62,13.20,2.77,6.24,3.09,0.245,0.059,0.029,6.00
52.07,14.09,2.84,6.93,3.05,0.600,0.067,0.031,5.93
53.13,12.78,2.64,6.07,3.03,0.142,0.060,0.028,6.00
52.41,13.51,2.91,6.52,3.05,0.522,0.065,0.030,5.87
53.18,12.51,2.67,6.06,3.12,0.124,0.060,0.030,5.93
52.38,13.52,2.82,6.06,3.01,0.369,0.062,0.031,6.00
53.13,12.54,2.58,5.94,3.21,0.059,0.061,0.029,6.33
51.37,13.81,2.95,6.28,2.98,0.380,0.062,0.030,5.93
52.47,13.05,2.72,6.77,3.06,0.096,0.060,0.028,6.07
50.66,14.04,3.40,6.54,2.89,0.551,0.059,0.034,5.60
53.18,12.57,2.77,5.69,2.85,0.114,0.058,0.030,5.93
53.79,11.95,2.54,5.82,2.91,0.060,0.063,0.030,6.20
52.72,13.27,2.76,6.36,2.87,0.243,0.064,0.031,6.47
53.90,11.71,2.56,5.70,2.90,0.056,0.057,0.031,2.59
54.29,11.34,2.45,6.10,2.89,0.057,0.061,0.027,5.87
53.92,11.79,2.42,6.02,2.86,0.062,0.059,0.027,6.13
53.77,11.83,2.36,6.53,2.88,0.050,0.060,0.028,6.13
54.04,11.29,2.70,6.07,2.90,0.048,0.062,0.032,6.27
54.23,11.18,2.86,5.60,2.81,0.050,0.060,0.030,6.07
53.71,11.90,2.89,6.42,2.92,0.041,0.062,0.027,6.13
53.82,11.77,2.55,6.52,2.91,0.060,0.061,0.028,6.00
53.32,12.41,2.73,5.95,2.91,0.050,0.061,0.029,6.20
53.48,12.33,2.60,5.82,2.93,0.044,0.058,0.029,6.20
53.58,12.03,2.66,5.83,2.91,0.055,0.055,0.031,5.87
54.02,11.77,2.34,5.20,2.83,0.051,0.050,0.030,5.93
53.79,11.68,2.42,6.52,2.86,0.065,0.054,0.029,6.07
53.46,11.51,2.43,7.45,2.92,0.060,0.062,0.029,5.67
53.83,11.69,2.50,6.01,2.92,0.067,0.056,0.030,5.87
53.66,11.94,2.55,5.86,2.85,0.086,0.056,0.031,5.93
53.28,12.63,2.66,5.56,2.87,0.044,0.060,0.030,6.33
53.29,12.58,2.68,5.46,2.93,0.073,0.055,0.029,6.20
53.34,12.45,2.57,5.37,2.92,0.041,0.059,0.029,5.87
53.73,12.00,2.53,5.81,2.89,0.061,0.058,0.030,5.80
53.51,12.36,2.59,5.39,2.94,0.041,0.058,0.030,6.53
54.00,11.66,2.37,5.37,2.88,0.048,0.061,0.029,6.33
53.97,11.61,2.49,6.35,2.95,0.063,0.059,0.029,5.73
53.71,12.07,2.67,6.00,3.01,0.078,0.057,0.026,5.80
54.19,11.69,2.59,5.24,2.83,0.055,0.059,0.027,6.07
54.68,10.89,2.43,4.96,2.75,0.045,0.056,0.028,5.73
53.95,11.75,2.48,5.42,2.91,0.050,0.061,0.029,6.73
53.81,11.75,2.59,5.65,2.97,0.056,0.054,0.029,6.33
53.37,12.40,2.73,6.09,3.01,0.058,0.054,0.029,5.87
53.89,11.70,2.56,6.02,2.91,0.052,0.056,0.029,6.00
53.96,11.63,2.58,5.38,2.99,0.048,0.057,0.030,6.07
54.01,11.73,2.58,5.43,2.94,0.061,0.059,0.028,6.27
53.90,11.89,2.57,6.05,2.95,0.056,0.058,0.027,6.20
53.01,12.99,2.79,6.26,2.98,0.044,0.060,0.026,5.93
53.38,12.23,2.82,5.99,3.00,0.059,0.058,0.030,6.00
53.67,12.10,2.84,5.46,2.88,0.047,0.055,0.029,5.80
53.62,12.18,3.03,5.30,2.92,0.043,0.055,0.028,5.93
53.21,12.59,3.06,5.39,2.98,0.044,0.053,0.029,6.00
53.47,12.58,2.93,5.35,2.93,0.041,0.059,0.027,5.87
53.87,12.12,2.65,5.17,2.92,0.039,0.060,0.027,6.33
53.64,12.24,2.80,5.22,2.91,0.041,0.063,0.027,6.07
53.63,12.30,2.90,5.39,2.88,0.037,0.059,0.028,6.13
53.70,12.26,2.91,5.40,2.85,0.046,0.055,0.029,6.47
53.82,12.05,2.74,4.65,2.83,0.038,0.055,0.027,6.40
53.54,12.37,3.00,5.30,2.90,0.039,0.057,0.028,6.60
53.32,12.48,3.01,6.44,2.92,0.040,0.060,0.026,6.00
53.50,12.33,2.84,5.40,2.91,0.047,0.055,0.029,6.40
54.41,11.17,2.64,5.15,2.79,0.073,0.054,0.030,6.27
53.53,12.16,2.88,6.29,2.96,0.045,0.058,0.027,6.00
53.12,12.74,2.99,6.33,2.92,0.054,0.056,0.026,5.80
53.32,12.61,2.90,5.95,2.83,0.044,0.056,0.028,6.80
53.70,11.97,2.83,6.16,2.93,0.052,0.055,0.027,6.40
53.51,12.19,2.90,5.93,2.81,0.044,0.056,0.030,6.53
53.71,11.88,2.60,6.09,2.88,0.042,0.055,0.029,6.00
53.66,12.24,2.67,6.36,2.82,0.040,0.057,0.027,6.07
53.50,12.22,2.59,6.33,2.86,0.042,0.057,0.028,6.13
53.21,12.73,2.74,5.86,2.84,0.045,0.057,0.030,6.07
53.17,12.82,2.88,5.88,2.82,0.061,0.058,0.029,5.93
53.20,12.49,2.82,6.52,2.92,0.046,0.056,0.028,5.80
53.03,12.48,2.88,6.78,2.88,0.064,0.054,0.028,6.20
53.12,12.11,2.94,6.98,2.85,0.062,0.054,0.028,6.40
53.02,12.06,2.64,6.89,2.84,0.044,0.054,0.029,6.60
53.30,12.16,2.76,7.17,2.90,0.050,0.060,0.030,6.73
52.88,13.08,2.91,6.42,2.86,0.040,0.058,0.029,6.67
53.21,12.90,2.86,6.31,2.82,0.045,0.057,0.028,5.87
52.94,13.45,2.93,6.51,2.90,0.043,0.062,0.026,5.93
52.84,13.32,2.89,6.15,2.88,0.041,0.058,0.029,6.27
52.72,13.46,2.89,5.70,2.87,0.038,0.058,0.029,6.07
53.33,12.52,2.65,5.72,2.83,0.056,0.050,0.030,6.00
53.22,12.63,2.62,6.45,2.87,0.039,0.057,0.028,5.73
53.54,12.62,2.63,5.62,2.88,0.099,0.064,0.027,6.40
53.21,12.80,2.61,6.30,2.92,0.043,0.065,0.026,6.20
53.20,12.89,2.80,5.88,2.90,0.079,0.061,0.029,6.67
53.15,12.09,2.63,6.28,2.84,0.035,0.060,0.028,6.20
53.33,12.70,2.69,6.15,2.86,0.033,0.062,0.026,6.33
53.31,12.73,2.77,5.90,2.92,0.040,0.061,0.027,6.13
53.08,13.15,2.77,5.49,2.91,0.055,0.062,0.029,6.07
53.66,12.36,2.42,5.08,2.99,0.070,0.063,0.029,6.00
52.92,13.32,2.90,5.39,2.99,0.041,0.060,0.028,6.73
53.26,12.80,2.66,5.72,2.90,0.037,0.058,0.028,5.93
53.41,12.50,2.57,6.01,2.96,0.037,0.061,0.027,6.13
53.59,12.67,2.77,4.75,2.74,0.031,0.060,0.029,5.93
53.32,12.99,2.78,5.41,2.75,0.031,0.059,0.027,6.07
53.43,12.55,2.64,6.03,2.82,0.036,0.057,0.027,6.00
53.51,12.71,2.73,5.06,2.73,0.028,0.056,0.028,5.93
53.25,12.87,2.76,5.76,2.78,0.032,0.056,0.028,6.00
53.57,12.53,2.63,5.85,2.82,0.031,0.057,0.026,6.40
53.73,12.26,2.67,5.92,2.83,0.032,0.058,0.027,6.20
53.28,12.73,2.96,6.22,2.84,0.039,0.057,0.028,5.67
53.23,12.66,2.93,6.82,2.83,0.033,0.056,0.028,5.80
52.76,13.05,2.81,6.96,2.77,0.250,0.057,0.031,5.60
53.76,11.98,2.59,6.43,2.83,0.049,0.056,0.027,6.07
53.34,12.58,2.71,6.20,2.82,0.157,0.058,0.027,5.60
53.59,12.21,2.62,6.62,2.75,0.080,0.058,0.029,6.60
53.43,12.45,2.84,5.66,2.78,0.047,0.059,0.030,6.40
53.63,12.06,2.63,5.86,2.78,0.049,0.061,0.031,6.20
53.49,12.47,2.77,5.49,2.78,0.042,0.065,0.028,6.27
52.99,12.85,2.58,6.39,2.85,0.337,0.065,0.031,6.07
53.98,11.60,2.60,6.21,2.73,0.060,0.060,0.031,6.47
52.66,13.29,2.76,6.40,2.88,0.125,0.068,0.032,5.53
53.02,12.66,2.63,6.72,2.95,0.062,0.060,0.031,5.93
53.42,12.29,2.74,6.53,2.89,0.062,0.057,0.029,6.27
53.15,12.43,2.85,7.14,2.98,0.055,0.054,0.028,6.07
53.54,12.04,2.62,6.61,2.93,0.046,0.060,0.029,6.40
53.28,12.39,2.84,6.38,2.87,0.044,0.055,0.030,6.20
53.63,12.02,2.53,6.18,2.86,0.049,0.057,0.031,6.47
53.16,12.72,2.73,6.75,2.92,0.051,0.059,0.028,5.93
53.32,12.62,2.90,6.03,2.82,0.047,0.061,0.028,5.87
53.28,12.48,2.78,6.66,2.82,0.052,0.059,0.028,6.07
53.23,12.39,2.82,6.59,2.96,0.043,0.060,0.031,6.13
52.17,13.07,2.99,7.06,3.11,0.053,0.067,0.027,5.73
52.34,13.32,2.81,6.79,3.04,0.070,0.066,0.027,6.33
52.78,13.26,2.90,6.11,2.90,0.057,0.063,0.029,5.67
51.89,13.49,2.85,6.38,2.93,0.064,0.060,0.027,6.80
52.71,13.26,2.85,6.29,3.00,0.062,0.062,0.027,6.00
53.02,13.11,2.69,6.19,2.94,0.058,0.065,0.027,5.07
52.49,12.95,2.85,6.52,2.95,0.052,0.063,0.026,6.20
53.41,12.47,2.68,6.28,2.90,0.094,0.061,0.027,6.00
53.33,12.70,2.69,5.84,2.89,0.060,0.060,0.030,6.73
53.22,12.52,2.64,6.07,2.96,0.061,0.057,0.030,6.13
52.92,12.63,2.71,6.62,3.01,0.060,0.063,0.027,6.20
52.96,12.80,2.63,6.66,2.94,0.053,0.062,0.027,6.13
53.25,12.40,2.53,6.53,2.95,0.057,0.058,0.032,6.27
53.10,12.89,2.71,5.91,2.93,0.061,0.062,0.029,6.00
53.26,12.66,2.71,5.79,2.93,0.050,0.060,0.030,6.00
53.01,13.07,2.73,6.11,2.90,0.060,0.062,0.029,5.80
53.04,13.10,2.73,6.34,2.96,0.080,0.060,0.026,6.07
53.66,12.09,2.57,6.37,2.87,0.068,0.061,0.028,6.00
53.02,12.96,2.83,6.35,2.91,0.053,0.061,0.028,5.87
53.25,12.73,2.57,5.90,2.94,0.070,0.061,0.029,6.33
53.18,12.98,2.76,5.75,2.91,0.072,0.062,0.028,5.93
53.30,12.82,2.58,5.93,2.90,0.053,0.062,0.027,6.00
53.07,13.07,2.61,5.86,2.83,0.051,0.057,0.027,6.40
53.15,12.94,2.91,5.65,2.84,0.079,0.062,0.027,5.87
52.73,13.24,2.89,6.27,2.91,0.075,0.058,0.029,6.07
53.12,13.06,2.86,5.13,2.78,0.068,0.059,0.030,5.93
53.00,13.25,2.81,5.36,2.86,0.050,0.063,0.027,6.27
53.03,13.14,2.79,5.45,2.87,0.062,0.064,0.030,6.13
53.26,12.71,2.77,5.55,2.91,0.053,0.061,0.029,6.33
53.34,12.56,2.82,5.71,2.81,0.049,0.069,0.029,6.20
53.39,12.58,2.78,6.22,2.89,0.043,0.072,0.028,5.73
53.22,12.67,2.72,6.11,2.79,0.034,0.063,0.028,6.13
53.73,12.45,2.61,5.34,2.75,0.050,0.067,0.027,6.00
53.37,12.93,2.62,5.45,2.79,0.042,0.065,0.027,6.40
53.26,12.89,3.03,5.17,2.88,0.050,0.070,0.029,6.07
53.32,12.89,2.84,4.93,2.80,0.049,0.066,0.028,6.40
52.59,13.75,2.99,6.55,2.98,0.050,0.071,0.026,6.00
52.22,14.05,3.07,7.07,3.00,0.042,0.070,0.026,5.87
52.50,13.71,3.02,6.61,2.97,0.051,0.065,0.026,6.20
52.54,13.44,2.81,6.63,2.91,0.066,0.064,0.027,6.07
52.99,12.94,2.69,6.98,3.04,0.081,0.066,0.028,6.00
52.64,13.31,2.75,7.28,3.03,0.059,0.065,0.027,5.67
52.53,12.90,2.58,7.36,2.91,0.049,0.069,0.027,5.73
52.61,13.02,2.68,6.80,3.02,0.068,0.065,0.026,6.00
53.03,12.65,2.70,6.08,2.97,0.068,0.062,0.030,5.67
52.49,13.60,2.66,6.19,2.98,0.042,0.063,0.029,5.87
52.92,12.93,2.60,6.45,3.03,0.060,0.060,0.029,6.13
52.98,12.99,2.66,6.28,2.90,0.050,0.068,0.028,5.60
52.74,13.36,2.71,6.17,2.97,0.050,0.078,0.027,6.27
52.73,13.32,2.80,6.31,3.02,0.063,0.074,0.028,5.80
52.61,13.22,2.75,6.12,3.10,0.054,0.071,0.029,6.13
52.91,13.06,2.77,5.86,2.99,0.054,0.071,0.028,6.33
52.59,13.19,2.90,6.20,3.06,0.047,0.077,0.026,6.13
52.66,13.51,2.95,5.92,2.93,0.064,0.073,0.028,5.67
52.82,13.31,2.81,6.20,3.00,0.066,0.072,0.030,6.27
53.09,12.80,2.70,6.50,2.93,0.075,0.074,0.028,6.07
52.95,13.07,2.77,5.77,2.89,0.060,0.071,0.030,5.87
52.83,13.13,2.81,5.98,2.91,0.070,0.066,0.028,6.67
52.81,13.29,2.86,6.03,2.89,0.056,0.067,0.027,5.93
52.70,13.55,2.88,5.95,2.90,0.061,0.071,0.028,5.80
52.85,13.05,2.86,6.01,2.99,0.059,0.071,0.030,6.40
52.91,12.88,2.83,6.28,3.00,0.073,0.072,0.029,6.07
52.71,12.98,2.82,6.56,2.97,0.190,0.072,0.029,6.27
52.80,13.19,2.86,6.16,2.88,0.053,0.070,0.027,6.00
52.98,12.98,2.77,6.33,2.92,0.045,0.071,0.027,6.13
53.01,12.85,2.77,6.32,2.91,0.051,0.066,0.028,5.80
53.05,12.66,2.82,6.10,3.03,0.048,0.069,0.028,5.87
53.08,12.72,2.82,6.07,2.86,0.061,0.062,0.029,6.60
53.16,12.61,2.87,6.35,2.99,0.054,0.066,0.027,6.00
53.20,12.34,2.75,6.28,3.01,0.060,0.065,0.030,5.93
53.08,12.63,2.84,6.10,2.99,0.059,0.058,0.030,5.67
52.84,12.89,2.89,6.41,3.00,0.054,0.065,0.030,5.87
52.61,13.03,3.02,6.39,2.99,0.072,0.062,0.028,5.53
52.69,13.01,2.94,6.23,3.03,0.081,0.063,0.028,5.93
53.20,12.61,2.76,6.07,2.98,0.048,0.062,0.028,5.73
53.03,12.82,2.75,5.72,3.06,0.062,0.061,0.027,6.00
53.61,11.91,2.73,5.39,3.11,0.051,0.061,0.031,6.93
53.44,12.01,2.71,5.85,3.09,0.048,0.063,0.030,6.53
53.54,11.91,2.65,5.96,3.05,0.060,0.060,0.030,5.87
53.48,12.15,2.63,6.15,3.08,0.050,0.070,0.030,5.80
53.89,11.44,2.50,6.02,3.09,0.042,0.063,0.028,6.13
53.52,11.87,2.64,6.29,3.07,0.054,0.063,0.029,6.07
53.48,11.99,2.58,6.46,3.10,0.053,0.059,0.029,6.00
53.52,12.00,2.53,6.40,3.15,0.051,0.059,0.029,5.93
53.39,11.94,2.57,6.72,3.18,0.090,0.070,0.030,5.80
53.18,12.01,2.55,6.82,3.17,0.050,0.060,0.030,5.73
52.49,12.24,2.70,6.68,3.15,0.053,0.066,0.030,5.73
53.26,12.02,2.68,6.58,3.19,0.052,0.065,0.031,6.20
53.20,11.99,2.74,6.79,3.16,0.078,0.062,0.030,5.80
52.84,12.61,2.73,6.86,3.17,0.061,0.065,0.030,5.87
52.65,12.52,2.86,6.89,3.16,0.055,0.067,0.027,6.20
52.92,12.26,2.65,7.15,3.16,0.056,0.057,0.027,5.80
53.03,12.39,2.73,6.81,3.06,0.062,0.059,0.028,6.00
53.44,12.09,2.47,6.55,3.08,0.064,0.061,0.029,6.13
53.47,12.05,2.54,5.97,3.08,0.058,0.060,0.029,6.20
53.57,12.15,2.36,6.29,3.07,0.078,0.060,0.028,6.07
53.18,12.69,2.33,6.37,3.01,0.067,0.058,0.028,5.93
53.04,12.59,2.76,6.16,3.10,0.063,0.061,0.029,5.60
53.54,11.99,2.60,6.91,2.95,0.074,0.056,0.027,5.87
53.49,11.97,2.69,6.59,3.02,0.063,0.060,0.030,6.60
53.54,11.74,2.67,6.84,2.98,0.052,0.058,0.028,6.40
53.62,11.59,2.66,6.25,3.15,0.069,0.061,0.030,6.07
53.60,11.90,2.70,5.79,3.07,0.061,0.062,0.030,6.00
53.60,11.88,2.71,5.99,3.08,0.052,0.059,0.030,5.87
53.43,12.00,2.75,6.68,3.18,0.086,0.065,0.030,6.07
53.42,11.83,2.73,6.45,3.13,0.063,0.058,0.030,6.53
53.26,11.65,2.56,6.54,3.08,0.057,0.062,0.029,6.20
53.42,11.70,2.77,6.78,3.14,0.053,0.062,0.029,5.80
53.47,11.86,2.77,6.31,3.14,0.052,0.063,0.030,6.00
53.36,11.87,2.62,6.25,3.10,0.055,0.061,0.031,5.93
53.37,12.08,2.75,6.04,3.06,0.102,0.061,0.030,6.20
53.13,12.38,2.90,6.23,3.07,0.059,0.059,0.028,6.07
53.04,12.53,2.84,6.16,3.06,0.067,0.059,0.028,6.13
52.72,12.94,2.94,6.07,3.08,0.049,0.062,0.030,6.47
53.33,12.34,2.96,5.77,2.97,0.055,0.060,0.030,6.20
52.78,12.98,3.11,6.54,3.10,0.073,0.062,0.027,6.67
52.85,12.89,2.87,5.95,3.06,0.054,0.061,0.031,6.33
53.37,12.41,2.78,5.34,2.97,0.059,0.060,0.029,6.67
52.80,13.25,2.27,6.35,3.11,0.061,0.061,0.027,6.00
53.01,12.65,2.75,6.75,3.12,0.089,0.057,0.027,6.20
52.78,12.54,2.98,6.62,3.12,0.060,0.061,0.030,6.60
52.78,13.01,3.18,5.74,2.97,0.060,0.059,0.028,6.07
53.30,12.46,2.89,4.93,3.02,0.074,0.059,0.031,6.13
53.51,12.01,2.65,6.03,3.05,0.057,0.062,0.028,6.20
53.06,12.43,2.77,6.19,3.09,0.058,0.058,0.030,5.73
53.00,12.05,2.63,6.12,2.98,0.085,0.057,0.029,6.20
52.97,12.66,2.85,6.47,3.10,0.073,0.059,0.027,5.60
53.02,12.49,2.84,6.34,3.02,0.058,0.057,0.028,5.87
53.03,12.57,3.09,6.08,3.02,0.063,0.058,0.029,6.00
53.23,12.42,2.74,6.24,3.00,0.062,0.059,0.029,5.93
52.84,12.90,2.77,6.60,3.18,0.061,0.064,0.028,5.80
53.16,12.76,2.92,5.86,3.08,0.062,0.060,0.028,5.93
53.28,12.43,2.70,5.65,3.11,0.112,0.064,0.028,6.00
52.94,12.84,2.87,6.28,3.08,0.067,0.056,0.029,6.33
53.33,12.31,2.79,5.77,2.79,0.089,0.056,0.031,6.07
