T.Fe%,CaO%,MgO%,SiO2%,Al2O3%,MnO%,P%,Cr2O3%,AI
52.69,12.49,2.49,5.55,2.52,0.309,0.065,0.031,5.93
52.48,12.72,2.46,5.65,2.57,0.113,0.072,0.033,5.93
52.17,12.72,2.58,5.50,2.53,1.130,0.074,0.034,6.00
52.81,12.32,2.66,5.93,2.54,0.195,0.065,0.031,6.13
52.52,12.58,2.67,5.56,2.52,0.532,0.070,0.031,6.00
52.75,12.44,2.45,5.55,2.54,0.134,0.066,0.032,6.27
52.49,12.66,2.68,5.43,2.51,0.491,0.071,0.329,6.00
52.98,12.35,2.40,5.55,2.61,0.082,0.071,0.030,5.93
52.37,12.90,2.73,5.74,2.53,0.600,0.073,0.030,5.73
52.56,12.75,2.70,5.51,2.52,0.135,0.071,0.030,6.53
52.25,13.10,2.55,5.64,2.51,0.172,0.071,0.031,6.60
52.38,13.00,2.56,5.48,2.52,0.490,0.071,0.030,6.07
52.65,12.70,2.62,5.67,2.52,0.113,0.070,0.030,6.47
52.33,12.99,2.56,6.00,2.54,0.589,0.070,0.030,5.93
52.84,12.14,2.60,5.63,2.57,0.113,0.069,0.032,6.80
52.77,12.28,2.47,5.35,2.48,0.537,0.067,0.031,6.07
52.74,12.37,2.30,5.19,2.64,0.090,0.061,0.032,6.60
52.36,12.68,2.69,5.85,2.66,0.654,0.064,0.031,6.13
52.83,12.24,2.29,5.26,2.68,0.117,0.064,0.032,6.53
52.61,12.47,2.55,5.40,2.55,0.581,0.061,0.032,5.80
52.94,12.15,2.43,5.12,2.61,0.120,0.059,0.032,6.27
52.81,12.26,2.38,5.04,2.60,0.506,0.065,0.032,5.93
53.06,12.10,2.51,5.28,2.62,0.110,0.064,0.029,5.87
52.97,12.11,2.39,4.88,2.53,0.377,0.060,0.031,5.80
52.90,12.03,2.33,5.07,2.66,0.093,0.059,0.032,6.53
53.68,12.48,2.47,5.17,2.60,0.257,0.063,0.032,6.20
52.84,12.38,2.45,4.97,2.57,0.123,0.059,0.031,5.80
52.85,12.22,2.36,5.09,2.62,0.289,0.063,0.031,5.40
52.89,12.19,2.24,5.19,2.65,0.088,0.059,0.032,6.13
52.40,12.58,2.48,6.03,2.79,0.528,0.063,0.030,6.13
52.38,12.69,2.43,5.75,2.83,0.120,0.056,0.031,6.07
52.72,12.28,2.43,5.68,2.76,0.500,0.064,0.031,6.27
52.82,12.19,2.45,5.44,2.72,0.066,0.057,0.052,6.33
52.45,12.59,2.44,5.59,2.73,0.459,0.062,0.044,6.07
52.50,12.45,2.40,5.66,2.76,0.094,0.057,0.046,6.60
52.38,12.74,2.60,6.22,2.86,0.125,0.058,0.034,5.93
